strategy,techns,salary,cost,revenue,proposal,assigned,worker,companies,clients,alltechns,stations
EASY,102,50.0,51000.0,2170.9,2034,81,3060,8,60,1041,4
HARD,127,50.0,63500.0,20288.1,2052,829,3810,8,60,1041,4
EASY,107,50.0,53500.0,5569.0,2052,208,3210,8,60,1041,4
EASY,102,50.0,51000.0,494.7,2034,18,3060,8,60,1041,4
HARD,51,44.0,17952.0,4493.5,1197,168,1224,7,144,568,8
EASY,53,44.0,18656.0,12884.1,1243,539,1272,7,144,568,8
HARD,51,44.0,17952.0,5000.6,1197,189,1224,7,144,568,8
HARD,51,44.0,17952.0,5250.7,1197,189,1224,7,144,568,8
EASY,174,44.0,61248.0,22251.1,3318,862,4176,7,144,568,8
HARD,135,44.0,47520.0,35329.4,3018,1383,3240,7,144,568,8
EASY,53,44.0,18656.0,4000.0,1243,159,1272,7,144,568,8
EASY,189,49.0,27783.0,21314.8,1488,831,1701,4,176,432,8
HARD,71,49.0,10437.0,5923.8,639,210,639,4,176,432,8
HARD,58,49.0,8526.0,8003.5,492,297,522,4,176,432,8
EASY,114,49.0,16758.0,8012.0,987,312,1026,4,176,432,8
EASY,186,40.0,74400.0,2935.4,1098,108,5580,6,35,898,5
HARD,145,40.0,58000.0,2476.0,1098,95,4350,6,35,898,5
HARD,166,40.0,66400.0,4847.6,1098,193,4980,6,35,898,5
EASY,70,40.0,28000.0,2547.8,1080,97,2100,6,35,898,5
EASY,186,40.0,74400.0,3178.8,1098,117,5580,6,35,898,5
HARD,145,40.0,58000.0,11807.8,1098,488,4350,6,35,898,5
HARD,77,42.0,54978.0,10890.4,3765,421,3927,8,104,1054,8
EASY,150,42.0,107100.0,20639.3,5232,847,7650,8,104,1054,8
HARD,182,42.0,129948.0,31937.8,5419,1261,9282,8,104,1054,8
EASY,118,42.0,84252.0,12580.2,4710,512,6018,8,104,1054,8
EASY,118,42.0,84252.0,8393.1,4710,338,6018,8,104,1054,8
EASY,150,42.0,107100.0,19331.3,5232,797,7650,8,104,1054,8
HARD,182,42.0,129948.0,8108.0,5419,302,9282,8,104,1054,8
HARD,77,42.0,54978.0,24261.1,3765,961,3927,8,104,1054,8
HARD,64,41.0,52480.0,14185.9,3790,558,3840,8,88,793,4
HARD,89,41.0,72980.0,8936.3,4917,354,5340,8,88,793,4
HARD,64,41.0,52480.0,32140.7,3790,1280,3840,8,88,793,4
HARD,89,41.0,72980.0,13832.0,4917,559,5340,8,88,793,4
HARD,89,41.0,72980.0,37963.9,4917,1533,5340,8,88,793,4
EASY,132,41.0,108240.0,11291.5,5401,484,7920,8,88,793,4
EASY,134,41.0,109880.0,7661.0,5401,287,8040,8,88,793,4
EASY,132,41.0,108240.0,8102.8,5401,346,7920,8,88,793,4
EASY,26,37.0,1924.0,366.0,155,15,156,9,104,686,8
HARD,31,37.0,2294.0,1368.4,174,51,186,9,104,686,8
EASY,121,37.0,8954.0,958.9,533,36,726,9,104,686,8
HARD,102,37.0,7548.0,5731.4,521,222,612,9,104,686,8
HARD,31,37.0,2294.0,0.0,174,0,186,9,104,686,8
EASY,121,37.0,8954.0,0.0,533,0,726,9,104,686,8
HARD,31,37.0,2294.0,2555.0,174,93,186,9,104,686,8
HARD,102,37.0,7548.0,3011.5,521,125,612,9,104,686,8
EASY,121,37.0,8954.0,0.0,533,0,726,9,104,686,8
HARD,36,28.0,12096.0,5524.2,1292,207,1296,10,84,791,4
EASY,82,28.0,27552.0,2446.5,2660,96,2952,10,84,791,4
HARD,74,28.0,24864.0,14473.5,2559,571,2664,10,84,791,4
EASY,82,28.0,27552.0,3307.3,2660,133,2952,10,84,791,4
EASY,121,28.0,40656.0,7806.4,3023,328,4356,10,84,791,4
HARD,36,28.0,12096.0,10106.2,1292,387,1296,10,84,791,4
EASY,82,28.0,27552.0,5972.0,2660,226,2952,10,84,791,4
EASY,121,28.0,40656.0,7169.7,3023,300,4356,10,84,791,4
EASY,121,28.0,40656.0,10512.8,3023,436,4356,10,84,791,4
HARD,36,28.0,12096.0,9974.1,1292,384,1296,10,84,791,4
EASY,145,19.0,27550.0,10327.6,3980,407,4350,7,180,799,9
HARD,96,19.0,18240.0,24213.4,2852,912,2880,7,180,799,9
HARD,43,19.0,8170.0,15373.8,1002,579,1290,7,180,799,9
EASY,129,19.0,24510.0,6516.0,3677,255,3870,7,180,799,9
EASY,145,19.0,27550.0,39168.1,3980,1590,4350,7,180,799,9
EASY,145,19.0,27550.0,31924.9,3980,1305,4350,7,180,799,9
HARD,96,19.0,18240.0,8502.5,2852,306,2880,7,180,799,9
HARD,53,29.0,13833.0,8551.7,1374,327,1431,11,120,868,5
HARD,53,29.0,13833.0,4343.0,1374,159,1431,11,120,868,5
EASY,21,29.0,5481.0,951.6,567,39,567,11,120,868,5
EASY,160,29.0,41760.0,3159.7,3221,122,4320,11,120,868,5
EASY,160,29.0,41760.0,12738.4,3221,524,4320,11,120,868,5
HARD,53,29.0,13833.0,8197.2,1374,318,1431,11,120,868,5
EASY,21,29.0,5481.0,1575.0,567,63,567,11,120,868,5
HARD,83,29.0,21663.0,11897.7,2199,468,2241,11,120,868,5
HARD,83,29.0,21663.0,20925.8,2199,834,2241,11,120,868,5
EASY,21,29.0,5481.0,683.2,567,28,567,11,120,868,5
EASY,160,29.0,41760.0,10134.0,3221,411,4320,11,120,868,5
HARD,52,49.0,35672.0,17639.5,2167,694,2184,8,84,925,4
HARD,52,49.0,35672.0,7923.7,2167,304,2184,8,84,925,4
EASY,106,49.0,72716.0,7354.6,3525,314,4452,8,84,925,4
HARD,52,49.0,35672.0,10690.2,2167,417,2184,8,84,925,4
EASY,106,49.0,72716.0,5738.6,3525,243,4452,8,84,925,4
EASY,180,49.0,123480.0,7044.6,3624,300,7560,8,84,925,4
EASY,180,49.0,123480.0,6544.0,3624,246,7560,8,84,925,4
HARD,197,49.0,135142.0,27826.4,3624,1106,8274,8,84,925,4
EASY,51,26.0,22542.0,10082.4,2531,431,2601,9,132,1024,6
EASY,199,26.0,87958.0,23022.9,6708,921,10149,9,132,1024,6
HARD,92,26.0,40664.0,21990.3,4588,875,4692,9,132,1024,6
EASY,199,26.0,87958.0,16174.2,6708,646,10149,9,132,1024,6
EASY,51,26.0,22542.0,8441.3,2531,359,2601,9,132,1024,6
HARD,92,26.0,40664.0,31498.8,4588,1252,4692,9,132,1024,6
EASY,51,26.0,22542.0,3685.0,2531,146,2601,9,132,1024,6
HARD,197,26.0,87074.0,21253.3,6714,840,10047,9,132,1024,6
HARD,92,26.0,40664.0,32649.1,4588,1301,4692,9,132,1024,6
HARD,177,32.0,67968.0,29379.7,5097,1190,6372,11,144,1203,8
HARD,75,32.0,28800.0,9323.1,2674,348,2700,11,144,1203,8
HARD,75,32.0,28800.0,13526.8,2674,528,2700,11,144,1203,8
HARD,177,32.0,67968.0,15121.1,5097,594,6372,11,144,1203,8
EASY,95,32.0,36480.0,554.6,3161,23,3420,11,144,1203,8
EASY,95,32.0,36480.0,713.0,3161,29,3420,11,144,1203,8
EASY,81,32.0,31104.0,5940.0,2766,233,2916,11,144,1203,8
HARD,177,32.0,67968.0,41441.3,5097,1704,6372,11,144,1203,8
EASY,81,32.0,31104.0,1020.4,2766,43,2916,11,144,1203,8
HARD,75,32.0,28800.0,14974.0,2674,591,2700,11,144,1203,8
EASY,95,32.0,36480.0,479.4,3161,20,3420,11,144,1203,8
EASY,41,33.0,4059.0,2903.6,366,119,369,8,125,521,5
HARD,39,33.0,3861.0,4138.6,306,153,351,8,125,521,5
HARD,39,33.0,3861.0,733.4,306,27,351,8,125,521,5
HARD,178,33.0,17622.0,11742.5,1145,452,1602,8,125,521,5
EASY,72,33.0,7128.0,1943.9,630,77,648,8,125,521,5
EASY,41,33.0,4059.0,2916.1,366,121,369,8,125,521,5
HARD,39,33.0,3861.0,3879.6,306,141,351,8,125,521,5
EASY,72,33.0,7128.0,1658.9,630,65,648,8,125,521,5
HARD,185,21.0,69930.0,31584.2,6918,1231,9990,7,130,1000,5
EASY,197,21.0,74466.0,34182.5,6930,1441,10638,7,130,1000,5
EASY,176,21.0,66528.0,21440.9,6867,896,9504,7,130,1000,5
HARD,36,21.0,13608.0,5388.2,1773,201,1944,7,130,1000,5
HARD,36,21.0,13608.0,19563.2,1773,750,1944,7,130,1000,5
HARD,185,21.0,69930.0,50307.4,6918,2039,9990,7,130,1000,5
HARD,185,21.0,69930.0,10384.0,6918,390,9990,7,130,1000,5
EASY,63,19.0,20349.0,6211.0,2187,243,3213,10,54,546,9
EASY,63,19.0,20349.0,8674.3,2187,360,3213,10,54,546,9
HARD,20,19.0,6460.0,1999.0,644,79,1020,10,54,546,9
HARD,114,19.0,36822.0,20391.6,2643,781,5814,10,54,546,9
HARD,20,19.0,6460.0,3432.2,644,138,1020,10,54,546,9
EASY,44,19.0,14212.0,5022.3,1719,210,2244,10,54,546,9
HARD,114,19.0,36822.0,7093.5,2643,263,5814,10,54,546,9
EASY,44,19.0,14212.0,5348.3,1719,222,2244,10,54,546,9
EASY,44,19.0,14212.0,5687.9,1719,238,2244,10,54,546,9
HARD,20,19.0,6460.0,2911.5,644,118,1020,10,54,546,9
EASY,25,36.0,15300.0,14511.3,1275,610,1275,9,198,791,9
HARD,175,36.0,107100.0,20663.7,8592,801,8925,9,198,791,9
HARD,175,36.0,107100.0,102502.7,8592,4092,8925,9,198,791,9
EASY,137,36.0,83844.0,19821.0,6614,798,6987,9,198,791,9
HARD,27,36.0,16524.0,19390.5,1377,738,1377,9,198,791,9
HARD,27,36.0,16524.0,17060.3,1377,648,1377,9,198,791,9
EASY,25,36.0,15300.0,1875.0,1275,75,1275,9,198,791,9
HARD,175,36.0,107100.0,53604.7,8592,2151,8925,9,198,791,9
EASY,25,36.0,15300.0,14014.2,1275,589,1275,9,198,791,9
HARD,185,31.0,22940.0,16542.6,1771,645,2220,10,160,991,8
EASY,32,31.0,3968.0,1350.0,384,54,384,10,160,991,8
HARD,185,31.0,22940.0,14728.0,1771,580,2220,10,160,991,8
HARD,34,31.0,4216.0,2368.0,333,84,408,10,160,991,8
HARD,185,31.0,22940.0,5743.1,1771,230,2220,10,160,991,8
EASY,136,31.0,16864.0,457.9,1454,19,1632,10,160,991,8
EASY,32,31.0,3968.0,2400.0,384,96,384,10,160,991,8
HARD,34,31.0,4216.0,3698.7,333,138,408,10,160,991,8
EASY,136,31.0,16864.0,23.9,1454,1,1632,10,160,991,8
EASY,32,31.0,3968.0,286.8,384,12,384,10,160,991,8
EASY,67,27.0,3618.0,0.0,275,0,402,8,60,442,6
EASY,67,27.0,3618.0,512.0,275,18,402,8,60,442,6
HARD,20,27.0,1080.0,76.0,117,3,120,8,60,442,6
EASY,67,27.0,3618.0,500.5,275,18,402,8,60,442,6
HARD,81,27.0,4374.0,2693.3,284,111,486,8,60,442,6
EASY,60,27.0,3240.0,0.0,266,0,360,8,60,442,6
EASY,60,27.0,3240.0,2967.0,266,113,360,8,60,442,6
HARD,20,27.0,1080.0,548.5,117,21,120,8,60,442,6
EASY,190,44.0,100320.0,3154.8,2173,117,6840,8,64,1228,4
EASY,190,44.0,100320.0,750.7,2173,27,6840,8,64,1228,4
HARD,106,44.0,55968.0,8984.4,2173,362,3816,8,64,1228,4
EASY,190,44.0,100320.0,989.4,2173,36,6840,8,64,1228,4
HARD,170,44.0,89760.0,18744.7,2173,780,6120,8,64,1228,4
HARD,106,44.0,55968.0,8487.9,2173,348,3816,8,64,1228,4
HARD,170,44.0,89760.0,4395.0,2173,167,6120,8,64,1228,4
HARD,106,44.0,55968.0,8432.3,2173,336,3816,8,64,1228,4
HARD,74,23.0,8510.0,13740.8,1027,508,1110,7,189,447,9
HARD,36,23.0,4140.0,5267.9,471,192,540,7,189,447,9
EASY,62,23.0,7130.0,13515.3,905,558,930,7,189,447,9
EASY,62,23.0,7130.0,4636.8,905,185,930,7,189,447,9
HARD,36,23.0,4140.0,5289.4,471,198,540,7,189,447,9
EASY,141,23.0,16215.0,22531.2,1943,872,2115,7,189,447,9
HARD,36,23.0,4140.0,4706.8,471,168,540,7,189,447,9
EASY,63,15.0,8505.0,4378.7,1689,175,1701,10,225,738,9
HARD,47,15.0,6345.0,6064.1,981,228,1269,10,225,738,9
HARD,47,15.0,6345.0,6028.1,981,228,1269,10,225,738,9
HARD,47,15.0,6345.0,6308.6,981,237,1269,10,225,738,9
EASY,44,15.0,5940.0,15785.1,1188,653,1188,10,225,738,9
EASY,44,15.0,5940.0,11123.6,1188,459,1188,10,225,738,9
HARD,134,15.0,18090.0,13451.8,3610,495,3618,10,225,738,9
EASY,44,15.0,5940.0,15580.9,1188,648,1188,10,225,738,9
HARD,134,15.0,18090.0,47044.0,3610,1830,3618,10,225,738,9
HARD,134,15.0,18090.0,25290.7,3610,979,3618,10,225,738,9
HARD,97,36.0,17460.0,12393.0,1340,488,1455,6,105,854,7
HARD,97,36.0,17460.0,9191.7,1340,351,1455,6,105,854,7
EASY,150,36.0,27000.0,1242.5,1565,49,2250,6,105,854,7
EASY,197,36.0,35460.0,4156.0,1574,161,2955,6,105,854,7
HARD,116,36.0,20880.0,9399.3,1478,382,1740,6,105,854,7
EASY,197,36.0,35460.0,3755.4,1574,143,2955,6,105,854,7
EASY,107,23.0,31993.0,35410.3,3999,1482,4173,6,198,831,9
EASY,171,23.0,51129.0,12012.0,6120,460,6669,6,198,831,9
EASY,171,23.0,51129.0,35466.0,6120,1415,6669,6,198,831,9
HARD,183,23.0,54717.0,55150.2,6683,2107,7137,6,198,831,9
HARD,28,23.0,8372.0,20617.6,1059,765,1092,6,198,831,9
EASY,171,23.0,51129.0,39226.0,6120,1574,6669,6,198,831,9
EASY,150,21.0,44100.0,1000.4,4397,41,6300,7,104,744,4
HARD,110,21.0,32340.0,14347.4,4130,561,4620,7,104,744,4
HARD,95,21.0,27930.0,22741.8,3777,929,3990,7,104,744,4
HARD,110,21.0,32340.0,17245.2,4130,698,4620,7,104,744,4
HARD,95,21.0,27930.0,44495.6,3777,1793,3990,7,104,744,4
EASY,89,21.0,26166.0,3380.9,3425,145,3738,7,104,744,4
HARD,95,21.0,27930.0,6803.0,3777,257,3990,7,104,744,4
EASY,48,42.0,30240.0,510.0,1919,20,2160,7,60,414,4
HARD,67,42.0,42210.0,13480.5,2455,544,3015,7,60,414,4
HARD,65,42.0,40950.0,23589.7,2428,947,2925,7,60,414,4
HARD,67,42.0,42210.0,7827.2,2455,305,3015,7,60,414,4
EASY,52,42.0,32760.0,5375.3,2024,222,2340,7,60,414,4
EASY,48,42.0,30240.0,9931.6,1919,417,2160,7,60,414,4
HARD,67,42.0,42210.0,4925.0,2455,181,3015,7,60,414,4
HARD,143,30.0,12870.0,0.0,568,0,1287,6,63,862,7
EASY,158,30.0,14220.0,5116.0,568,193,1422,6,63,862,7
HARD,175,30.0,15750.0,0.0,568,0,1575,6,63,862,7
HARD,143,30.0,12870.0,8413.0,568,333,1287,6,63,862,7
EASY,158,30.0,14220.0,571.7,568,21,1422,6,63,862,7
EASY,85,30.0,7650.0,562.2,550,21,765,6,63,862,7
EASY,124,44.0,81840.0,2968.9,1660,119,5580,8,35,1097,7
EASY,197,44.0,130020.0,1843.7,1660,75,8865,8,35,1097,7
EASY,124,44.0,81840.0,1973.6,1660,79,5580,8,35,1097,7
HARD,125,44.0,82500.0,4654.2,1660,185,5625,8,35,1097,7
EASY,197,44.0,130020.0,6533.4,1660,261,8865,8,35,1097,7
EASY,124,44.0,81840.0,4822.5,1660,194,5580,8,35,1097,7
HARD,103,44.0,67980.0,2494.0,1660,93,4635,8,35,1097,7
HARD,103,44.0,67980.0,16264.7,1660,654,4635,8,35,1097,7
HARD,38,45.0,3420.0,1998.9,183,75,228,7,168,859,8
EASY,123,45.0,11070.0,0.0,695,0,738,7,168,859,8
EASY,135,45.0,12150.0,0.0,761,0,810,7,168,859,8
EASY,135,45.0,12150.0,400.0,761,16,810,7,168,859,8
HARD,195,45.0,17550.0,8987.0,994,367,1170,7,168,859,8
HARD,38,45.0,3420.0,885.4,183,33,228,7,168,859,8
HARD,195,45.0,17550.0,13829.0,994,519,1170,7,168,859,8
HARD,188,25.0,32900.0,3726.6,819,154,3948,8,42,1264,6
EASY,110,25.0,19250.0,500.5,819,18,2310,8,42,1264,6
HARD,190,25.0,33250.0,0.0,819,0,3990,8,42,1264,6
HARD,190,25.0,33250.0,5132.2,819,205,3990,8,42,1264,6
EASY,176,25.0,30800.0,2931.6,819,108,3696,8,42,1264,6
EASY,110,25.0,19250.0,982.7,819,36,2310,8,42,1264,6
EASY,110,25.0,19250.0,2903.0,819,110,2310,8,42,1264,6
HARD,190,25.0,33250.0,4520.9,819,188,3990,8,42,1264,6
HARD,194,25.0,38800.0,56169.7,4551,2071,4656,8,224,1001,8
EASY,126,25.0,25200.0,3294.4,2932,129,3024,8,224,1001,8
EASY,129,25.0,25800.0,17315.4,2998,710,3096,8,224,1001,8
EASY,126,25.0,25200.0,8423.2,2932,345,3024,8,224,1001,8
HARD,42,25.0,8400.0,16850.9,750,621,1008,8,224,1001,8
EASY,129,25.0,25800.0,17714.1,2998,728,3096,8,224,1001,8
EASY,129,25.0,25800.0,9882.6,2998,385,3096,8,224,1001,8
EASY,126,25.0,25200.0,12101.1,2932,487,3024,8,224,1001,8
EASY,182,22.0,76076.0,24396.5,6797,1031,10374,9,119,901,7
HARD,192,22.0,80256.0,9095.0,6844,337,10944,9,119,901,7
HARD,95,22.0,39710.0,37334.7,5194,1487,5415,9,119,901,7
HARD,95,22.0,39710.0,20691.9,5194,801,5415,9,119,901,7
HARD,95,22.0,39710.0,51758.1,5194,2052,5415,9,119,901,7
EASY,182,22.0,76076.0,15138.2,6797,631,10374,9,119,901,7
EASY,20,22.0,8360.0,1500.0,1140,60,1140,9,119,901,7
EASY,20,22.0,8360.0,6655.0,1140,283,1140,9,119,901,7
EASY,20,22.0,8360.0,4211.9,1140,178,1140,9,119,901,7
EASY,59,24.0,18408.0,3861.0,2278,157,2301,7,196,679,7
EASY,84,24.0,26208.0,17151.1,3197,708,3276,7,196,679,7
EASY,59,24.0,18408.0,16327.2,2278,688,2301,7,196,679,7
HARD,149,24.0,46488.0,111503.9,5675,4234,5811,7,196,679,7
EASY,59,24.0,18408.0,9690.5,2278,406,2301,7,196,679,7
EASY,84,24.0,26208.0,22301.6,3197,921,3276,7,196,679,7
HARD,185,24.0,57720.0,16437.6,6688,613,7215,7,196,679,7
HARD,70,29.0,10150.0,8488.7,953,333,1050,10,70,1494,5
EASY,146,29.0,21170.0,500.5,1108,18,2190,10,70,1494,5
HARD,188,29.0,27260.0,8512.3,1108,335,2820,10,70,1494,5
EASY,176,29.0,25520.0,494.7,1108,18,2640,10,70,1494,5
EASY,146,29.0,21170.0,0.0,1108,0,2190,10,70,1494,5
HARD,188,29.0,27260.0,1283.3,1108,55,2820,10,70,1494,5
EASY,146,29.0,21170.0,6114.0,1108,229,2190,10,70,1494,5
EASY,176,29.0,25520.0,1227.2,1108,45,2640,10,70,1494,5
HARD,188,29.0,27260.0,0.0,1108,0,2820,10,70,1494,5
HARD,70,29.0,10150.0,1750.0,953,75,1050,10,70,1494,5
EASY,113,20.0,18080.0,9204.5,2480,369,2712,11,153,889,9
EASY,65,20.0,10400.0,2810.0,1498,112,1560,11,153,889,9
HARD,68,20.0,10880.0,9107.3,1536,345,1632,11,153,889,9
EASY,113,20.0,18080.0,3180.5,2480,121,2712,11,153,889,9
EASY,65,20.0,10400.0,7944.7,1498,332,1560,11,153,889,9
HARD,68,20.0,10880.0,9364.5,1536,360,1632,11,153,889,9
HARD,73,20.0,11680.0,6164.6,1637,224,1752,11,153,889,9
EASY,113,20.0,18080.0,6887.0,2480,278,2712,11,153,889,9
HARD,73,20.0,11680.0,16130.3,1637,623,1752,11,153,889,9
HARD,73,20.0,11680.0,10246.5,1637,393,1752,11,153,889,9
EASY,65,20.0,10400.0,11879.4,1498,499,1560,11,153,889,9
EASY,126,17.0,29988.0,500.5,2655,18,5292,11,66,1255,6
HARD,110,17.0,26180.0,9213.6,2655,366,4620,11,66,1255,6
HARD,131,17.0,31178.0,8835.5,2655,361,5502,11,66,1255,6
EASY,77,17.0,18326.0,500.5,2367,18,3234,11,66,1255,6
HARD,131,17.0,31178.0,11678.7,2655,486,5502,11,66,1255,6
EASY,77,17.0,18326.0,247.4,2367,9,3234,11,66,1255,6
HARD,131,17.0,31178.0,4705.0,2655,177,5502,11,66,1255,6
HARD,110,17.0,26180.0,8449.1,2655,344,4620,11,66,1255,6
EASY,126,17.0,29988.0,2643.2,2655,99,5292,11,66,1255,6
EASY,126,17.0,29988.0,2405.6,2655,90,5292,11,66,1255,6
HARD,110,17.0,26180.0,16511.8,2655,687,4620,11,66,1255,6
HARD,109,26.0,19838.0,28198.2,2234,1096,2289,8,132,856,6
HARD,107,26.0,19474.0,13616.1,2204,513,2247,8,132,856,6
EASY,199,26.0,36218.0,11873.8,2872,491,4179,8,132,856,6
EASY,45,26.0,8190.0,1950.0,926,78,945,8,132,856,6
EASY,199,26.0,36218.0,7557.4,2872,300,4179,8,132,856,6
EASY,45,26.0,8190.0,2048.5,926,85,945,8,132,856,6
HARD,107,26.0,19474.0,8804.0,2204,321,2247,8,132,856,6
EASY,45,26.0,8190.0,2562.0,926,105,945,8,132,856,6
HARD,93,46.0,85560.0,33925.6,5503,1334,5580,11,161,794,7
HARD,93,46.0,85560.0,23967.5,5503,918,5580,11,161,794,7
HARD,54,46.0,49680.0,24342.1,2907,942,3240,11,161,794,7
HARD,93,46.0,85560.0,15682.9,5503,599,5580,11,161,794,7
EASY,142,46.0,130640.0,41951.5,7772,1722,8520,11,161,794,7
HARD,54,46.0,49680.0,27875.3,2907,1080,3240,11,161,794,7
HARD,54,46.0,49680.0,4652.2,2907,168,3240,11,161,794,7
EASY,142,46.0,130640.0,29368.1,7772,1179,8520,11,161,794,7
EASY,23,46.0,21160.0,10442.0,1380,438,1380,11,161,794,7
EASY,23,46.0,21160.0,18412.2,1380,778,1380,11,161,794,7
EASY,23,46.0,21160.0,14249.6,1380,600,1380,11,161,794,7
EASY,33,18.0,2970.0,474.0,448,19,495,5,64,396,8
EASY,110,18.0,9900.0,3694.0,950,140,1650,5,64,396,8
EASY,33,18.0,2970.0,676.2,448,27,495,5,64,396,8
HARD,86,18.0,7740.0,10339.9,921,400,1290,5,64,396,8
HARD,134,18.0,12060.0,9572.5,968,382,2010,5,64,396,8
EASY,66,15.0,7920.0,5339.6,1570,215,1584,8,216,436,9
EASY,50,15.0,6000.0,2461.1,1193,98,1200,8,216,436,9
EASY,66,15.0,7920.0,9854.2,1570,408,1584,8,216,436,9
HARD,38,15.0,4560.0,16946.8,702,594,912,8,216,436,9
HARD,50,15.0,6000.0,27077.0,1038,969,1200,8,216,436,9
EASY,50,15.0,6000.0,11108.5,1193,466,1200,8,216,436,9
EASY,50,15.0,6000.0,3911.1,1193,156,1200,8,216,436,9
EASY,66,15.0,7920.0,15229.4,1570,635,1584,8,216,436,9
EASY,140,28.0,66640.0,10760.2,6911,433,7140,12,234,1287,9
EASY,140,28.0,66640.0,10120.0,6911,395,7140,12,234,1287,9
HARD,48,28.0,22848.0,9357.4,1944,348,2448,12,234,1287,9
EASY,184,28.0,87584.0,8682.4,8813,343,9384,12,234,1287,9
HARD,48,28.0,22848.0,23983.9,1944,900,2448,12,234,1287,9
EASY,140,28.0,66640.0,49290.9,6911,2044,7140,12,234,1287,9
HARD,48,28.0,22848.0,3612.2,1944,129,2448,12,234,1287,9
HARD,57,28.0,27132.0,6796.9,2820,252,2907,12,234,1287,9
HARD,57,28.0,27132.0,44372.6,2820,1671,2907,12,234,1287,9
HARD,57,28.0,27132.0,23838.0,2820,891,2907,12,234,1287,9
EASY,184,28.0,87584.0,62302.5,8813,2517,9384,12,234,1287,9
EASY,184,28.0,87584.0,60124.9,8813,2487,9384,12,234,1287,9
EASY,109,19.0,8284.0,0.0,1165,0,1308,8,92,804,4
EASY,109,19.0,8284.0,1408.0,1165,51,1308,8,92,804,4
EASY,33,19.0,2508.0,0.0,387,0,396,8,92,804,4
EASY,109,19.0,8284.0,3757.0,1165,137,1308,8,92,804,4
HARD,89,19.0,6764.0,0.0,1064,0,1068,8,92,804,4
HARD,161,19.0,12236.0,7816.3,1219,310,1932,8,92,804,4
EASY,33,19.0,2508.0,2455.0,387,98,396,8,92,804,4
HARD,161,19.0,12236.0,15863.8,1219,623,1932,8,92,804,4
EASY,133,44.0,17556.0,256.0,1026,9,1197,10,133,1041,7
EASY,138,44.0,18216.0,5605.2,1053,219,1242,10,133,1041,7
EASY,138,44.0,18216.0,748.6,1053,27,1242,10,133,1041,7
EASY,133,44.0,17556.0,4846.7,1026,195,1197,10,133,1041,7
HARD,59,44.0,7788.0,793.0,501,30,531,10,133,1041,7
HARD,55,44.0,7260.0,4156.3,462,156,495,10,133,1041,7
EASY,133,44.0,17556.0,9210.0,1026,351,1197,10,133,1041,7
EASY,138,44.0,18216.0,256.0,1053,9,1242,10,133,1041,7
HARD,59,44.0,7788.0,244.5,501,9,531,10,133,1041,7
HARD,55,44.0,7260.0,4861.8,462,183,495,10,133,1041,7
EASY,82,32.0,15744.0,0.0,1423,0,1476,7,168,983,7
HARD,194,32.0,37248.0,16220.2,2779,628,3492,7,168,983,7
HARD,194,32.0,37248.0,24013.8,2779,952,3492,7,168,983,7
EASY,82,32.0,15744.0,0.0,1423,0,1476,7,168,983,7
HARD,194,32.0,37248.0,8572.6,2779,347,3492,7,168,983,7
HARD,170,32.0,32640.0,17585.6,2681,699,3060,7,168,983,7
EASY,67,32.0,12864.0,4905.0,1164,195,1206,7,168,983,7
HARD,115,37.0,68080.0,82586.7,5461,3172,5520,7,180,564,9
HARD,115,37.0,68080.0,13085.3,5461,483,5520,7,180,564,9
EASY,93,37.0,55056.0,39004.8,4308,1587,4464,7,180,564,9
HARD,115,37.0,68080.0,39045.5,5461,1489,5520,7,180,564,9
EASY,51,37.0,30192.0,19069.5,2424,794,2448,7,180,564,9
EASY,51,37.0,30192.0,26859.0,2424,1123,2448,7,180,564,9
HARD,24,37.0,14208.0,2312.3,900,84,1152,7,180,564,9
EASY,110,16.0,5280.0,247.4,607,9,990,7,70,636,5
EASY,110,16.0,5280.0,902.0,607,33,990,7,70,636,5
HARD,44,16.0,2112.0,4145.3,395,159,396,7,70,636,5
EASY,64,16.0,3072.0,885.5,499,33,576,7,70,636,5
EASY,64,16.0,3072.0,0.0,499,0,576,7,70,636,5
HARD,134,16.0,6432.0,3705.0,625,154,1206,7,70,636,5
EASY,110,16.0,5280.0,6344.0,607,237,990,7,70,636,5
HARD,126,41.0,67158.0,52656.8,4833,2090,4914,7,161,851,7
HARD,126,41.0,67158.0,29983.4,4833,1172,4914,7,161,851,7
EASY,67,41.0,35711.0,12216.1,2530,515,2613,7,161,851,7
HARD,126,41.0,67158.0,29058.5,4833,1144,4914,7,161,851,7
EASY,163,41.0,86879.0,15028.8,5597,625,6357,7,161,851,7
EASY,67,41.0,35711.0,9855.4,2530,417,2613,7,161,851,7
HARD,176,41.0,93808.0,11829.0,6006,444,6864,7,161,851,7
EASY,164,44.0,93808.0,1544.8,1537,57,6396,6,36,699,6
HARD,117,44.0,66924.0,5885.2,1537,227,4563,6,36,699,6
HARD,117,44.0,66924.0,6199.0,1537,252,4563,6,36,699,6
HARD,90,44.0,51480.0,3055.0,1532,117,3510,6,36,699,6
EASY,94,44.0,53768.0,7305.4,1528,279,3666,6,36,699,6
HARD,117,44.0,66924.0,14650.1,1537,605,4563,6,36,699,6
HARD,154,50.0,146300.0,6832.2,2091,273,8778,8,36,688,4
HARD,21,50.0,19950.0,1795.4,1056,68,1197,8,36,688,4
HARD,21,50.0,19950.0,4764.4,1056,192,1197,8,36,688,4
